Timestamp,Contact_ID,Agent_ID,Queue_Name,Call_Duration (s),Silence_Duration (s),Silence_Pct,Max_Agitation_Score,Primary_Category,Customer_Sentiment,Agent_Quality,Compliance_Risk,Empathy_Score,FCR_Flag,Call_Summary_Transcript
2026-08-20 00:40:46,CM-16378-B,AGENT_MORGAN,Tech_Support_US,127,28,22.2,15,Order_Tracking,35,86,No Risk,86,1,Customer inquired regarding expedited courier delivery status for hardware order. Agent tracked consignment and confirmed arrival ETA.
2026-08-20 00:56:54,CM-97518-C,AGENT_PAT,Enterprise_Escalations,318,70,22.1,14,Subscription_Renewal,59,75,Medium Risk,97,1,Enterprise contact reviewed upcoming annual contract renewal terms and license tiers. Agent forwarded formal quote sheet.
2026-08-20 01:03:42,CM-65702-C,AGENT_CASEY,Customer_Care_Global,349,83,23.9,43,Account_Access,94,82,No Risk,75,1,Caller needed email address change on primary customer account. Two-step verification completed and credentials refreshed.
2026-08-20 01:22:06,CM-70981-B,AGENT_CASEY,Tech_Support_US,248,32,12.8,29,Billing_Inquiry,54,89,No Risk,94,1,Caller requested invoice copy and updated credit card details on enterprise billing profile. Verified billing contacts and confirmed change.
2026-08-20 01:25:03,CM-87857-B,AGENT_RILEY,Enterprise_Escalations,410,57,13.8,40,Billing_Inquiry,41,86,No Risk,83,1,Customer queried line-item surcharge on recent monthly statement. Agent reviewed billing schedule and credited processing variance.
2026-08-20 01:42:13,CM-87004-B,AGENT_JORDAN,Customer_Care_Global,180,39,21.8,15,General_Product_Query,36,79,No Risk,70,1,General inquiry on API rate limits and webhook notification configurations. Agent referenced technical developer documentation.
2026-08-20 01:59:11,CM-14728-A,AGENT_CASEY,Tech_Support_APAC,237,28,12.0,12,General_Product_Query,72,83,No Risk,80,1,Caller asked regarding desktop client system requirements and supported browser versions. Agent shared knowledge base link.
2026-08-20 02:04:10,CM-30016-B,AGENT_SAM,Tech_Support_US,269,36,13.2,13,Order_Tracking,92,90,No Risk,97,1,Customer inquired regarding expedited courier delivery status for hardware order. Agent tracked consignment and confirmed arrival ETA.
2026-08-20 02:17:49,CM-69389-B,AGENT_AVERY,Tech_Support_US,312,60,19.1,36,Subscription_Renewal,83,85,No Risk,83,1,Inquiry on multi-seat volume discount tiers for next fiscal renewal period. Agent summarized discount matrix.
2026-08-20 02:20:10,CM-38255-B,AGENT_TAYLOR,Billing_Support_US,236,47,19.8,29,General_Product_Query,27,88,No Risk,93,1,General inquiry on API rate limits and webhook notification configurations. Agent referenced technical developer documentation.
2026-08-20 02:26:05,CM-36041-C,AGENT_CHRIS,Enterprise_Escalations,305,60,19.6,43,General_Product_Query,82,86,No Risk,79,1,Prospective customer requested feature comparison between Standard and Enterprise analytics tiers.
2026-08-20 03:05:21,CM-90786-A,AGENT_SAM,Tech_Support_US,271,52,19.1,15,Subscription_Renewal,89,80,No Risk,77,1,Enterprise contact reviewed upcoming annual contract renewal terms and license tiers. Agent forwarded formal quote sheet.
2026-08-20 03:10:03,CM-67541-C,AGENT_RILEY,Enterprise_Escalations,311,56,17.9,40,General_Product_Query,61,88,No Risk,86,1,General inquiry on API rate limits and webhook notification configurations. Agent referenced technical developer documentation.
2026-08-20 03:10:56,CM-28411-A,AGENT_CHRIS,Customer_Care_Global,305,58,18.9,21,Subscription_Renewal,37,87,No Risk,86,1,Enterprise contact reviewed upcoming annual contract renewal terms and license tiers. Agent forwarded formal quote sheet.
2026-08-20 03:21:51,CM-26389-C,AGENT_MORGAN,Customer_Care_Global,362,30,8.2,16,Billing_Inquiry,60,83,No Risk,68,0,Customer queried line-item surcharge on recent monthly statement. Agent reviewed billing schedule and credited processing variance.
2026-08-20 03:41:38,CM-87718-A,AGENT_RILEY,Billing_Support_US,350,70,19.9,29,Billing_Inquiry,92,73,No Risk,66,0,Customer queried line-item surcharge on recent monthly statement. Agent reviewed billing schedule and credited processing variance.
2026-08-20 03:52:09,CM-13853-C,AGENT_JORDAN,Customer_Care_Global,313,19,6.2,43,Subscription_Renewal,26,92,No Risk,86,1,Customer confirmed continuation of annual maintenance agreement and updated purchase order authorization number.
2026-08-20 04:11:48,CM-68398-C,AGENT_CASEY,Billing_Support_US,225,17,7.7,34,Account_Access,15,88,No Risk,77,1,Caller needed email address change on primary customer account. Two-step verification completed and credentials refreshed.
2026-08-20 04:13:20,CM-71700-C,AGENT_ALEX,Tech_Support_APAC,348,18,5.1,35,Subscription_Renewal,64,90,No Risk,87,1,Customer confirmed continuation of annual maintenance agreement and updated purchase order authorization number.
2026-08-20 04:16:31,CM-53910-B,AGENT_SAM,Enterprise_Escalations,148,14,9.3,14,Billing_Inquiry,83,91,No Risk,96,1,Discussion regarding prorated subscription charges following plan upgrade. Agent explained billing cycle cutoff dates clearly.
2026-08-20 05:26:57,CM-19552-B,AGENT_CHRIS,Enterprise_Escalations,413,93,22.5,16,Billing_Inquiry,51,77,No Risk,77,1,Customer queried line-item surcharge on recent monthly statement. Agent reviewed billing schedule and credited processing variance.
2026-08-20 05:35:15,CM-45895-A,AGENT_TAYLOR,Billing_Support_US,238,39,16.3,13,Billing_Inquiry,21,82,No Risk,79,1,Caller requested invoice copy and updated credit card details on enterprise billing profile. Verified billing contacts and confirmed change.
